mesh_id,descriptor_name,tree_number,parent_tree_number,parent_id,parent_name
D005856,Germ-Free Life,G06.320,G06,D008827,Microbiological Phenomena
D008474,Medial Forebrain Bundle,A08.612.492,A08,D009420,Nervous System
D020532,Basal Nucleus of Meynert,A08.186.211.200.885.287.249.880.100,A08,D009420,Nervous System
D002830,Choroid Neoplasms,C04.588.364.978.223,C04,D009369,Neoplasms
D002830,Choroid Neoplasms,C11.319.494.198,C11,D005128,Eye Diseases
D016545,Choroid Plexus Neoplasms,C04.588.614.250.195.205.200,C04,D009369,Neoplasms
D016545,Choroid Plexus Neoplasms,C10.228.140.211.280.300,C10,D009422,Nervous System Diseases
D002276,Carcinoid Tumor,C04.557.465.625.650.200,C04,D009369,Neoplasms
D015811,Iris Neoplasms,C04.588.364.978.400,C04,D009369,Neoplasms
D015811,Iris Neoplasms,C11.319.494.400,C11,D005128,Eye Diseases
D013091,Spermatogenesis,G04.152.650.624,G04,D002468,Cell Physiological Phenomena
D013091,Spermatogenesis,G08.686.784.310.760,G08,D012101,Reproductive and Urinary Physiological Phenomena
D018862,Merkel Cells,A08.675.650.915.750.425,A08,D009420,Nervous System
D018862,Merkel Cells,A11.409.875,A11,D002477,Cells
D017573,Focal Epithelial Hyperplasia,C07.465.342,C07,D009057,Stomatognathic Diseases
D005464,Fluorobenzenes,D02.455.426.559.389.358,D02,D009930,Organic Chemicals
D012725,Sexual Behavior,F01.145.802,F01,D001520,Behavior and Behavior Mechanisms
D000788,"Angina Pectoris, Variant",C14.280.647.187.150.150,C14,D002318,Cardiovascular Diseases
D000788,"Angina Pectoris, Variant",C23.888.592.612.233.500.150.150,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D012741,Sexual Maturation,G07.345.750.750,G07,D010829,Physiological Phenomena
D012741,Sexual Maturation,G08.686.841.750,G08,D012101,Reproductive and Urinary Physiological Phenomena
D012152,Rete Testis,A05.360.444.849.600,A05,D014566,Urogenital System
D013155,Spleen Focus-Forming Viruses,B04.613.807.375.525.850,B04,D014780,Viruses
D012151,Resuscitation,E02.365.647,E02,D013812,Therapeutics
D000099132,Perineuronal Nets,A11.284.295.310.775,A11,D002477,Cells
D055949,Vasa Previa,C12.050.703.420.952,C12,D000091642,Urogenital Diseases
